VREF
13800,0

SREF
100000000,0

LOADS
ID	P[k]	Q[k]
Time	95
163	21,21237	8,99217
162	19,159245	8,12196
160	84,01052499999999	35,613225
158	28,99693	12,29214
157	28,340005	12,01391
156	173,727765	73,64516999999998
155	361,56528	153,27215999999999
154	2,928625	1,2414499999999997
153	1,2028999999999999	0,510025
152	3,671325	1,5564150000000003
150	16,764719999999997	7,106679999999999
149	10,007790000000002	4,24242
147	34,784295	14,745639999999998
145	57,436695	24,348195
144	93,98025000000001	39,839445000000005
143	31,450425000000003	13,332249999999998
141	22,70112	9,62338
139	50,153040000000004	21,26061
137	198,376455	84,09434999999999
136	93,95949499999998	39,830679999999994
135	454,91200000000003	192,84320000000002
134	41,79327	17,716965
131	110,24875	46,736125
130	64,61998500000001	27,393315
129	32,742	13,879874999999998
128	121,73344499999999	51,604485000000004
127	48,727109999999996	20,656184999999997
125	114,17252	48,39908
124	26,411550000000002	11,196075
123	40,619055	17,218845
122	42,07644	17,836560000000002
87	164,42595000000003	65,416815
86	27,239250000000002	10,837125
85	1,9031250000000002	0,757125
84	12,462290000000001	4,957845
83	40,31464499999999	16,03913
82	26,149725	10,40382
81	68,79912	27,37176
80	32,687549999999995	13,004774999999999
78	43,99795	17,50484
77	28,640175	11,394659999999998
76	89,67488	35,67707
73	114,479965	48,52949
71	18,93872	8,028414999999999
70	87,17136500000001	36,95304
69	56,4555	23,932125
68	7,492355	3,17623
65	7,098975	3,0095
64	33,546965	14,221169999999999
63	96,92737500000001	41,08875
62	23,662925	10,031125
59	52,969275	22,454530000000002
57	114,34408499999999	48,471869999999996
56	46,01835	19,507775
55	144,44514	61,232220000000005
54	42,209824999999995	17,893330000000002
53	34,15406	14,478469999999998
52	28,880599999999998	12,242894999999999
50	2,03905	0,8645
49	0,55803	0,236295
46	28,996660000000002	14,176084999999999
45	49,64525999999999	24,270974999999996
44	75,17808	36,753645
42	113,069475	55,27860000000001
40	23,505075	11,491425000000001
38	12,250915	5,989255
37	36,14763	17,67231
35	165,92257500000002	81,117855
34	27,065974999999998	13,232074999999998
32	12,050699999999996	5,891499999999999
222	46,11957499999999	22,547245
30	58,89786	28,7946
221	78,446995	38,351765
29	18,37808	8,984689999999999
220	58,59356999999999	28,645770000000002
28	77,37562000000001	37,828199999999995
219	105,95037499999998	51,797725
27	12,803975000000001	6,259824999999999
218	11,040339999999999	5,397410000000001
217	69,51742999999999	33,986455
215	23,558535	11,51766
214	8,654445	4,231035
212	51,64362499999999	25,247954999999997
21	62,554590000000005	24,887205
20	91,54329999999999	36,42037499999999
211	40,350249999999996	19,726560000000003
210	43,72322	21,37597
18	147,3042	58,604974999999996
209	16,20385	7,921875
208	21,28995	10,4085
17	100,54921499999999	40,00344
15	98,435185	39,162275
206	16,7981	7,12085
205	10,744120000000002	4,55466
13	48,477395	19,28671
204	35,253545	14,944465000000003
12	24,530625	9,759399999999998
202	133,82918	56,73193499999999
10	26,78857	10,657765
9	23,985115	9,54261
200	76,9643	32,62616
7	115,75592	46,05366
6	49,871115	19,841380000000004
5	154,09845	61,308225
4	22,190610000000003	8,82861
3	24,466825	9,734174999999999
2	24,1289	9,599545
Time	94
163	16,87866	7,155060000000001
162	26,76212	11,34496
160	42,51135	18,021150000000002
158	10,777620000000002	4,56876
157	39,11719	16,58258
156	112,68828000000002	47,76984
155	482,08704	204,36288000000002
154	4,5184500000000005	1,9153799999999999
153	0,5439200000000001	0,23062000000000002
152	2,99145	1,2681900000000002
150	20,955899999999996	8,88335
149	22,581680000000002	9,57264
147	44,34042	18,79664
145	29,78199	12,62499
144	102,102	43,28236
143	17,02023	7,2151
141	34,05168	14,43507
139	36,088959973464	15,298639988750999
137	146,37486	62,0502
136	142,08509	60,23176000000001
135	777,1413329542399	329,44046650596397
134	47,63534	20,19353
131	148,65000000000003	63,015000000000015
130	60,962250000000004	25,84275
129	42,78288	18,13637
128	83,95410000000001	35,58930000000001
127	42,37140000000001	17,961900000000004
125	45,0681	19,1049
124	50,902260000000005	21,57789
123	58,434430000000006	24,770970000000002
122	30,0546	12,740400000000001
87	113,67720000000001	45,226440000000004
86	26,876060000000003	10,69263
85	2,1315000000000004	0,8479800000000002
84	10,94818	4,35549
83	45,76257	18,20658
82	32,37585	12,88092
81	84,67584	33,68832
80	20,753999999999998	8,257
78	30,162116638994995	12,000173322323997
77	40,67735	16,183719999999997
76	152,88832000000002	60,826480000000004
73	54,40632000000001	23,06352
71	55,430400000000006	23,4978
70	123,58472000000002	52,389120000000005
69	66,24112	28,08036
68	4,1054	1,7404000000000002
65	4,805460000000001	2,0372000000000003
64	16,60056	7,03728
63	134,40596000000002	56,9764
62	24,02697	10,18545
59	44,778150000000004	18,982180000000003
57	91,94679000000001	38,97738
56	97,29594	41,24501
55	151,32348	64,14804000000001
54	77,52825	32,865300000000005
53	32,587360000000004	13,814319999999999
52	54,2248	22,98666
50	1,63124	0,6916000000000001
