0,3	0,3	0,5
0,3	0,3	0,5
0,3	0,3	0,5
0,3	0,3	0,5
0,3	0,3	0,5
0,3	0,3	0,5
0,3	0,3	0,5
0,3	0,3	0,5
0,3	0,3	0,5
0,3	0,3	0,5
0,3	0,3	0,5
0,3	0,3	0,5
0,3	0,3	0,5
0,3	0,3	0,5
0,3	0,3	0,5
0,3	0,3	0,5
0,3	0,3	0,5
0,3	0,3	0,5
0,325	0,3	0,5
0,35	0,3	0,5
0,375	0,3	0,5
0,4	0,3	0,5
0,425	0,35	0,533333333
0,45	0,4	0,566666667
0,5	0,45	0,6
0,55	0,5	0,633333333
0,575	0,55	0,666666667
0,6	0,6	0,7
0,65	0,65	0,733333333
0,65	0,7	0,766666667
0,657692308	0,75	0,8
0,665384615	0,775	0,85
0,673076923	0,8	0,9
0,680769231	0,825	0,95
0,688461538	0,85	0,95
0,696153846	0,875	0,95
0,703846154	0,9	0,95
0,711538462	0,9	0,95
0,719230769	0,9	0,95
0,726923077	0,9	0,95
0,734615385	0,9	0,95
0,742307692	0,9	0,95
0,75	0,9	0,95
0,775	0,9	0,95
0,8	0,9	0,95
0,825	0,9	0,95
0,85	0,9	0,95
0,875	0,85	0,875
0,9	0,8	0,8
0,9	0,75	0,8
0,9	0,7	0,8
0,85	0,7	0,8
0,8	0,675	0,8
0,772727273	0,675	0,8
0,745454545	0,7	0,83
0,718181818	0,7	0,86
0,690909091	0,75	0,89
0,663636364	0,775	0,92
0,636363636	0,8	0,95
0,609090909	0,825	0,958333333
0,581818182	0,85	0,966666667
0,554545455	0,9	0,975
0,527272727	0,933	0,983333333
0,5	0,966	0,991666667
0,5	1,0	1,0
0,5	1,0	1,0
0,5	1,0	1,0
0,5	1,0	1,0
0,5	1,0	1,0
0,55	0,933333333	1,0
0,6	0,866666667	1,0
0,65	0,8	1,0
0,7	0,733333333	1,0
0,75	0,666666667	1,0
0,8	0,6	1,0
0,8	0,59	1,0
0,8	0,58	1,0
0,85	0,57	1,0
0,9	0,56	0,99
0,95	0,55	0,98
1,0	0,54	0,97
1,0	0,53	0,96
1,0	0,52	0,95
1,0	0,51	0,95
1,0	0,5	0,95
0,925	0,475	0,90625
0,85	0,45	0,8625
0,775	0,425	0,81875
0,7	0,4	0,775
0,625	0,375	0,73125
0,55	0,35	0,6875
0,475	0,325	0,64375
0,45	0,3	0,6
0,425	0,3	0,566666667
0,4	0,3	0,533333333
0,375	0,3	0,5
